Date;Close
03.01.2005 00:00;1,35040
03.01.2005 04:00;1,34740
03.01.2005 08:00;1,35330
03.01.2005 12:00;1,34910
03.01.2005 16:00;1,34760
03.01.2005 20:00;1,34680
04.01.2005 00:00;1,34850
04.01.2005 04:00;1,34600
04.01.2005 08:00;1,33770
04.01.2005 12:00;1,33680
04.01.2005 16:00;1,33050
04.01.2005 20:00;1,32700
05.01.2005 00:00;1,32620
05.01.2005 04:00;1,32850
05.01.2005 08:00;1,32500
05.01.2005 12:00;1,32440
05.01.2005 16:00;1,32800
05.01.2005 20:00;1,32720
06.01.2005 00:00;1,32640
06.01.2005 04:00;1,32440
06.01.2005 08:00;1,31910
06.01.2005 12:00;1,32090
06.01.2005 16:00;1,31770
06.01.2005 20:00;1,31810
07.01.2005 00:00;1,31790
07.01.2005 04:00;1,31730
07.01.2005 08:00;1,32360
07.01.2005 12:00;1,31990
07.01.2005 16:00;1,30550
07.01.2005 20:00;1,30720
10.01.2005 00:00;1,30750
10.01.2005 04:00;1,30750
10.01.2005 08:00;1,31160
10.01.2005 12:00;1,30970
10.01.2005 16:00;1,30880
10.01.2005 20:00;1,31000
11.01.2005 00:00;1,31320
11.01.2005 04:00;1,31180
11.01.2005 08:00;1,31590
11.01.2005 12:00;1,31470
11.01.2005 16:00;1,31340
11.01.2005 20:00;1,31180
12.01.2005 00:00;1,31090
12.01.2005 04:00;1,31200
12.01.2005 08:00;1,31000
12.01.2005 12:00;1,32630
12.01.2005 16:00;1,32770
12.01.2005 20:00;1,32500
13.01.2005 00:00;1,32540
13.01.2005 04:00;1,32510
13.01.2005 08:00;1,32250
13.01.2005 12:00;1,32120
13.01.2005 16:00;1,32130
13.01.2005 20:00;1,32130
14.01.2005 00:00;1,31380
14.01.2005 04:00;1,31120
14.01.2005 08:00;1,31130
14.01.2005 12:00;1,31110
14.01.2005 16:00;1,30930
14.01.2005 20:00;1,30950
17.01.2005 00:00;1,31080
17.01.2005 04:00;1,31140
17.01.2005 08:00;1,31000
17.01.2005 12:00;1,30910
17.01.2005 16:00;1,30740
17.01.2005 20:00;1,30460
18.01.2005 00:00;1,30320
18.01.2005 04:00;1,30440
18.01.2005 08:00;1,30440
18.01.2005 12:00;1,30120
18.01.2005 16:00;1,30340
18.01.2005 20:00;1,30170
19.01.2005 00:00;1,30330
19.01.2005 04:00;1,30240
19.01.2005 08:00;1,30880
19.01.2005 12:00;1,30620
19.01.2005 16:00;1,29900
19.01.2005 20:00;1,30080
20.01.2005 00:00;1,30100
20.01.2005 04:00;1,30220
20.01.2005 08:00;1,29590
20.01.2005 12:00;1,29650
20.01.2005 16:00;1,29670
20.01.2005 20:00;1,29570
21.01.2005 00:00;1,29450
21.01.2005 04:00;1,29460
21.01.2005 08:00;1,29930
21.01.2005 12:00;1,29950
21.01.2005 16:00;1,30510
21.01.2005 20:00;1,30080
24.01.2005 00:00;1,30380
24.01.2005 04:00;1,30680
24.01.2005 08:00;1,30860
24.01.2005 12:00;1,30710
24.01.2005 16:00;1,30390
24.01.2005 20:00;1,30450
25.01.2005 00:00;1,30380
25.01.2005 04:00;1,30260
25.01.2005 08:00;1,30550
25.01.2005 12:00;1,30360
25.01.2005 16:00;1,29650
25.01.2005 20:00;1,29740
26.01.2005 00:00;1,29810
26.01.2005 04:00;1,29730
26.01.2005 08:00;1,30120
26.01.2005 12:00;1,30470
26.01.2005 16:00;1,30840
26.01.2005 20:00;1,30740
27.01.2005 00:00;1,30670
27.01.2005 04:00;1,30870
27.01.2005 08:00;1,30450
27.01.2005 12:00;1,30230
27.01.2005 16:00;1,30460
27.01.2005 20:00;1,30410
28.01.2005 00:00;1,30270
28.01.2005 04:00;1,30470
28.01.2005 08:00;1,30490
28.01.2005 12:00;1,30500
28.01.2005 16:00;1,30360
28.01.2005 20:00;1,30560
31.01.2005 00:00;1,30240
31.01.2005 04:00;1,30230
31.01.2005 08:00;1,30050
31.01.2005 12:00;1,30270
31.01.2005 16:00;1,30430
31.01.2005 20:00;1,30450
01.02.2005 00:00;1,30490
01.02.2005 04:00;1,30520
01.02.2005 08:00;1,30320
01.02.2005 12:00;1,30190
01.02.2005 16:00;1,30450
01.02.2005 20:00;1,30440
02.02.2005 00:00;1,30810
02.02.2005 04:00;1,30780
02.02.2005 08:00;1,30720
02.02.2005 12:00;1,30540
02.02.2005 16:00;1,30310
02.02.2005 20:00;1,30330
03.02.2005 00:00;1,30210
03.02.2005 04:00;1,30290
03.02.2005 08:00;1,30340
03.02.2005 12:00;1,29540
03.02.2005 16:00;1,29650
03.02.2005 20:00;1,29760
04.02.2005 00:00;1,29680
04.02.2005 04:00;1,29730
04.02.2005 08:00;1,29710
